"","OkresNazev","OkresKod"
"1","Benešov",2101
"2","Beroun",2102
"3","Blansko",6201
"4","Břeclav",6204
"5","Brno-město",6202
"6","Brno-venkov",6203
"7","Bruntál",8101
"8","Česká Lípa",5101
"9","České Budějovice",3101
"10","Český Krumlov",3102
"11","Cheb",4101
"12","Chomutov",4202
"13","Chrudim",5301
"14","Děčín",4201
"15","Domažlice",3201
"16","Frýdek-Místek",8102
"17","Havlíčkův Brod",6101
"18","Hodonín",6205
"19","Hradec Králové",5201
"20","Jablonec nad Nisou",5102
"21","Jeseník",7101
"22","Jičín",5202
"23","Jihlava",6102
"24","Jindřichův Hradec",3103
"25","Karlovy Vary",4102
"26","Karviná",8103
"27","Kladno",2103
"28","Klatovy",3202
"29","Kolín",2104
"30","Kroměříž",7201
"31","Kutná Hora",2105
"32","Liberec",5103
"33","Litoměřice",4203
"34","Louny",4204
"35","Mělník",2106
"36","Mladá Boleslav",2107
"37","Most",4205
"38","Náchod",5203
"39","Nový Jičín",8104
"40","Nymburk",2108
"41","Olomouc",7102
"42","Opava",8105
"43","Ostrava-město",8106
"44","Pardubice",5302
"45","Pelhřimov",6103
"46","Písek",3104
"47","Plzeň-jih",3204
"48","Plzeň-město",3203
"49","Plzeň-sever",3205
"50","Prachatice",3105
"51","Praha-východ",2109
"52","Praha-západ",2110
"53","Přerov",7104
"54","Příbram",2111
"55","Prostějov",7103
"56","Rakovník",2112
"57","Rokycany",3206
"58","Rychnov nad Kněžnou",5204
"59","Semily",5104
"60","Sokolov",4103
"61","Strakonice",3106
"62","Šumperk",7105
"63","Svitavy",5303
"64","Tábor",3107
"65","Tachov",3207
"66","Teplice",4206
"67","Třebíč",6104
"68","Trutnov",5205
"69","Uherské Hradiště",7202
"70","Ústí nad Labem",4207
"71","Ústí nad Orlicí",5304
"72","Vsetín",7203
"73","Vyškov",6206
"74","Žďár nad Sázavou",6105
"75","Zlín",7204
"76","Znojmo",6207
